PROTEIN GROUP;GENE;DISTANZA DALL'ER;Q-VALUE DALL'ER;DISTANZA DAL REPLICOMA ;Q-VALUE REPLICOMA;RISULTATO;PREDICTED LOCALIZATION IN INF (analisi con proteine virali);DISTANZA DELLE DISTANCE;DISTANZA DELLE DISTANZE 0-1;TERZILI;top 25%
Q93052;LPP;1,849542;1;2,086489;1;Vicino all'ER;Cytoplasm;0,236947;0,675085199;;
F5H8H2;MVK;1,866388;1;2,103324;1;Vicino all'ER;Cytoplasm;0,236936;0,675051563;;
Q9HAU5;UPF2;1,677157;1;1,914067;1;Vicino all'ER;Translation;0,23691;0,674972059;;
Q96HC4;PDLIM5;1,868735;1;2,105633;1;Vicino all'ER;Cytoplasm;0,236898;0,674935365;;
Q9UJU6;DBNL;1,812651;1;2,049497;1;Vicino all'ER;Cytoplasm;0,236846;0,674776357;;
P07355;ANXA2;1,743554;1;1,980396;1;Vicino all'ER;Cytoplasm;0,236842;0,674764126;;
Q9NXH9;TRMT1;1,83312;1;2,069938;1;Vicino all'ER;Cytoplasm;0,236818;0,674690738;;
P50395;GDI2;1,820725;1;2,057509;1;Vicino all'ER;Cytoplasm;0,236784;0,674586771;;
P09497;CLTB;1,786566;1;2,023344;1;Vicino all'ER;Cytoplasm;0,236778;0,674568424;;
Q15021;NCAPD2;2,251711;1;2,488439;1;Vicino all'ER;protein-complex;0,236728;0,674415533;;
Q9Y4E8;USP15;1,872375;1;2,109098;1;Vicino all'ER;Cytoplasm;0,236723;0,674400243;;
A0A2R8Y661;RAPGEF2;2,049851;1;2,286569;1;Vicino all'ER;Translation;0,236718;0,674384954;;
O60488;ACSL4;0,5459666;0,001289593;0,4508254;8,89E-05;Vicino al REPLICOMA;ER;0,0951412;0,241466111;;
Q7L8J4;SH3BP5L;1,834984;1;2,071669;1;Vicino all'ER;Cytoplasm;0,236685;0,674284046;;
P07741;APRT;1,85134;1;2,088013;1;Vicino all'ER;Cytoplasm;0,236673;0,674247352;;
O95155;UBE4B;1,748328;1;1,984954;1;Vicino all'ER;Cytoplasm;0,236626;0,674103633;;
Q66K14;TBC1D9B;1,725348;1;1,961956;1;Vicino all'ER;Cytoplasm;0,236608;0,674048592;;
E9PLK3;NPEPPS;1,843096;1;2,079697;1;Vicino all'ER;Cytoplasm;0,236601;0,674027187;;
O15239;NDUFA1;1,162554;0,187294;1,399095;0,2943382;Vicino all'ER;Mitochondria;0,236541;0,673843717;;
H0Y599;DOCK4;1,502394;0,7748141;1,738927;0,8918167;Vicino all'ER;endosome-vesicle;0,236533;0,673819254;;
O95544;NADK;2,126197;1;2,362725;1;Vicino all'ER;Cytoplasm;0,236528;0,673803965;;
O95433;AHSA1;1,906748;1;2,143254;1;Vicino all'ER;Cytoplasm;0,236506;0,673736693;Q2;x
A0A7I2V4Y4;ACTN1;1,805426;1;2,041928;1;Vicino all'ER;Cytoplasm;0,236502;0,673724461;Q2;x
Q8N543;OGFOD1;2,105944;1;2,34244;1;Vicino all'ER;protein-complex;0,236496;0,673706114;;
A0A804HIC4;EVI5;1,989183;1;2,225665;1;Vicino all'ER;Cytoplasm;0,236482;0,673663305;;
O15084;ANKRD28;2,079964;1;2,316426;1;Vicino all'ER;protein-complex;0,236462;0,673602148;;
B5MDU6;LDAH;0,7006161;0,006338444;0,9370406;0,0206514;Vicino all'ER;ER;0,2364245;0,673487479;;
U3KQU7;COG5;2,179497;1;2,415904;1;Vicino all'ER;Cytoplasm;0,236407;0,673433967;;
P11142;HSPA8;1,829217;1;2,065578;1;Vicino all'ER;Cytoplasm;0,236361;0,673293306;;
J3KMX3;AFP;1,580726;0,9244314;1,817077;1;Vicino all'ER;Cytoplasm;0,236351;0,673262728;Q2;x
Q9UNE7;STUB1;1,817765;1;2,054114;1;Vicino all'ER;Cytoplasm;0,236349;0,673256612;;
A0A8V8TL10;PIK3R1;1,981084;1;2,217427;1;Vicino all'ER;Cytoplasm;0,236343;0,673238265;;
O75348;ATP6V1G1;1,633891;1;1,870229;1;Vicino all'ER;Cytoplasm;0,236338;0,673222976;;
B3KSP9;PTGES3L-AARSD1;1,888143;1;2,124445;1;Vicino all'ER;Cytoplasm;0,236302;0,673112894;;
P16949;STMN1;1,820323;1;2,056617;1;Vicino all'ER;Cytoplasm;0,236294;0,673088431;;
A0A3B3ISG5;IDE;1,868944;1;2,105233;1;Vicino all'ER;Cytoplasm;0,236289;0,673073142;;
Q58FF7;HSP90AB3P;2,043294;1;2,279579;1;Vicino all'ER;Cytoplasm;0,236285;0,673060911;;
P49591;SARS1;1,878466;1;2,11473;1;Vicino all'ER;Cytoplasm;0,236264;0,672996696;;
Q9H444;CHMP4B;1,687652;1;1,923906;1;Vicino all'ER;Cytoplasm;0,236254;0,672966118;;
A0A0A0MT72;CCM2;1,496767;0,762571;1,733019;0,8806399;Vicino all'ER;Cytoplasm;0,236252;0,672960002;;
A0A494BZY7;EEF1AKMT2;1,356614;0,4810768;1,592829;0,6271221;Vicino all'ER;Mitochondria;0,236215;0,672846862;;
P49903;SEPHS1;1,630991;1;1,867176;1;Vicino all'ER;Cytoplasm;0,236185;0,672755127;;
Q08209;PPP3CA;1,757704;1;1,993833;1;Vicino all'ER;Cytoplasm;0,236129;0,672583888;;
Q5VTE6;ANGEL2;0,9279221;0,04016588;1,164044;0,08625;Vicino all'ER;Mitochondria;0,2361219;0,672562177;;
A0A7P0TB70;RIGI;1,740965;1;1,977086;1;Vicino all'ER;Cytoplasm;0,236121;0,672559425;;
A0A087WYS1;UGP2;2,218364;1;2,454438;1;Vicino all'ER;Cytoplasm;0,236074;0,672415707;;
Q9Y376;CAB39;1,733667;1;1,969724;1;Vicino all'ER;Cytoplasm;0,236057;0,672363724;;
P53582;METAP1;1,88788;1;2,123923;1;Vicino all'ER;Translation;0,236043;0,672320914;;
P68371;TUBB4B;1,858124;1;2,094145;1;Vicino all'ER;Cytoplasm;0,236021;0,672253642;;
P52788;SMS;1,865844;1;2,101835;1;Vicino all'ER;Cytoplasm;0,235991;0,672161906;;
Q9UNF0;PACSIN2;1,869644;1;2,105632;1;Vicino all'ER;Cytoplasm;0,235988;0,672152733;;
A0A8Q3SID9;CASP8;1,843295;1;2,079227;1;Vicino all'ER;Cytoplasm;0,235932;0,671981494;;
P06733;ENO1;1,835639;1;2,071554;1;Vicino all'ER;Cytoplasm;0,235915;0,671929511;;
Q9NRG1;PRTFDC1;2,00873;1;2,244644;1;Vicino all'ER;Cytoplasm;0,235914;0,671926453;;
Q06210;GFPT1;1,967209;1;2,20304;1;Vicino all'ER;Cytoplasm;0,235831;0,671672652;;
P04075;ALDOA;1,818485;1;2,054297;1;Vicino all'ER;Cytoplasm;0,235812;0,671614553;;
Q86SQ0;PHLDB2;1,274789;0,336791;1,51058;0,469639;Vicino all'ER;ER;0,235791;0,671550339;;
Q6P996;PDXDC1;1,82782;1;2,063607;1;Vicino all'ER;Cytoplasm;0,235787;0,671538108;;
Q9H3U1;UNC45A;1,847658;1;2,083438;1;Vicino all'ER;Cytoplasm;0,23578;0,671516703;;
Q15435;PPP1R7;1,877911;1;2,113682;1;Vicino all'ER;Cytoplasm;0,235771;0,671489182;;
O94964;MTCL2;1,011962;0,07523155;1,247727;0,1372071;Vicino all'ER;Nucleus;0,235765;0,671470835;;
Q16719;KYNU;2,040732;1;2,276495;1;Vicino all'ER;Cytoplasm;0,235763;0,671464719;;
Q14315;FLNC;1,824731;1;2,06049;1;Vicino all'ER;Cytoplasm;0,235759;0,671452488;;
P61158;ACTR3;1,863026;1;2,098766;1;Vicino all'ER;Cytoplasm;0,23574;0,671394389;Q2;x
P07108;DBI;1,723519;1;1,959246;1;Vicino all'ER;Cytoplasm;0,235727;0,671354637;;
P45974;USP5;1,84925;1;2,084975;1;Vicino all'ER;Cytoplasm;0,235725;0,671348522;;
Q9HB71;CACYBP;1,867051;1;2,102733;1;Vicino all'ER;Cytoplasm;0,235682;0,671217035;;
H0Y360;AMPD2;1,964757;1;2,200438;1;Vicino all'ER;Cytoplasm;0,235681;0,671213977;;
Q8NAF0;ZNF579;1,387475;0,5410748;1,623118;0,6856309;Vicino all'ER;Nucleus;0,235643;0,671097779;;
O75884;RBBP9;1,848411;1;2,084051;1;Vicino all'ER;Cytoplasm;0,23564;0,671088605;;
Q9NX46;ADPRS;1,770629;1;2,006198;1;Vicino all'ER;Cytoplasm;0,235569;0,670871499;Q2;x
P29083;GTF2E1;1,514903;0,7970504;1,750458;0,9115267;Vicino all'ER;Cytoplasm;0,235555;0,670828689;;
Q8TDH9;BLOC1S5;2,109837;1;2,345383;1;Vicino all'ER;Cytoplasm;0,235546;0,670801169;;
Q86YT6;MIB1;1,505582;0,7808583;1,741126;0,8950893;Vicino all'ER;Translation;0,235544;0,670795053;;
O00178;GTPBP1;2,211169;1;2,44671;1;Vicino all'ER;protein-complex;0,235541;0,67078588;;
P15311;EZR;1,748378;1;1,983916;1;Vicino all'ER;Cytoplasm;0,235538;0,670776706;;
P00338;LDHA;1,910158;1;2,145642;1;Vicino all'ER;Cytoplasm;0,235484;0,670611583;;
Q8TEA7;TBCK;2,002259;1;2,237735;1;Vicino all'ER;Cytoplasm;0,235476;0,67058712;;
P43487;RANBP1;1,81887;1;2,054345;1;Vicino all'ER;Cytoplasm;0,235475;0,670584062;;
Q8WTS6;SETD7;1,650884;1;1,886331;1;Vicino all'ER;Cytoplasm;0,235447;0,670498443;;
P04424;ASL;1,843342;1;2,078779;1;Vicino all'ER;Cytoplasm;0,235437;0,670467864;;
A0A8V8TKW6;NBN;1,053542;0,0998766;1,288954;0,1717694;Vicino all'ER;Mitochondria;0,235412;0,670391418;;
P31930;UQCRC1;0,7380679;0,008782828;0,9734647;0,02721549;Vicino all'ER;Mitochondria;0,2353968;0,670344939;;
E5RGX5;STMN2;1,828573;1;2,063969;1;Vicino all'ER;Cytoplasm;0,235396;0,670342493;;
Q8N1B4;VPS52;1,867799;1;2,103181;1;Vicino all'ER;Translation;0,235382;0,670299683;;
O96013;PAK4;1,4683;0,7075773;1,703564;0,8310983;Vicino all'ER;PM;0,235264;0,669938859;;
Q9BQP7;MGME1;0,9999105;0,06849948;1,235144;0,1273453;Vicino all'ER;Mitochondria;0,2352335;0,669845594;;
O43707;ACTN4;1,808626;1;2,043828;1;Vicino all'ER;Cytoplasm;0,235202;0,669749273;Q2;x
Q9Y490;TLN1;1,872882;1;2,108078;1;Vicino all'ER;Cytoplasm;0,235196;0,669730926;;
Q9UNN5;FAF1;1,813116;1;2,048263;1;Vicino all'ER;Cytoplasm;0,235147;0,669581092;;
P00390;GSR;1,826112;1;2,061255;1;Vicino all'ER;Cytoplasm;0,235143;0,66956886;;
K7EMR7;RTN2;1,709193;1;1,944297;1;Vicino all'ER;protein-complex;0,235104;0,669449605;;
P60891;PRPS1;2,158749;1;2,393823;1;Vicino all'ER;protein-complex;0,235074;0,669357869;;
Q6GMV3;PTRHD1;1,821602;1;2,056659;1;Vicino all'ER;Cytoplasm;0,235057;0,669305886;;
A0A804HJ40;ZDHHC6;0,6115146;0,002487223;0,8465206;0,01089469;Vicino all'ER;ER;0,235006;0,669149936;;
P48507;GCLM;1,831525;1;2,066526;1;Vicino all'ER;Cytoplasm;0,235001;0,669134647;;
P23381;WARS1;1,828104;1;2,063077;1;Vicino all'ER;Cytoplasm;0,234973;0,669049028;;
F5H345;HMBS;1,818872;1;2,053816;1;Vicino all'ER;Cytoplasm;0,234944;0,668960351;;
P09960;LTA4H;1,846239;1;2,081183;1;Vicino all'ER;Cytoplasm;0,234944;0,668960351;;
P78345;RPP38;1,144748;0,1707762;1,37966;0,2695505;Vicino all'ER;Mitochondria;0,234912;0,6688625;;
Q7L5D6;GET4;2,056523;1;2,291424;1;Vicino all'ER;Cytoplasm;0,234901;0,668828864;;
Q9BTE1;DCTN5;1,96728;1;2,202109;1;Vicino all'ER;protein-complex;0,234829;0,668608699;;
Q99426;TBCB;1,827482;1;2,062233;1;Vicino all'ER;Cytoplasm;0,234751;0,668370188;;
A1KXE4;FAM168B;2,012758;1;2,247494;1;Vicino all'ER;Cytoplasm;0,234736;0,66832432;;
A0A5F9ZHM4;LDHB;1,902689;1;2,137424;1;Vicino all'ER;Cytoplasm;0,234735;0,668321263;;
A0A087WZV0;PPIP5K2;2,089706;1;2,324429;1;Vicino all'ER;Cytoplasm;0,234723;0,668284568;;
P35568;IRS1;1,70416;1;1,938847;1;Vicino all'ER;Cytoplasm;0,234687;0,668174486;;
J3KT51;JPT1;1,792518;1;2,027202;1;Vicino all'ER;Cytoplasm;0,234684;0,668165313;;
A0A087X1B1;IKBKG;1,824986;1;2,059643;1;Vicino all'ER;Cytoplasm;0,234657;0,668082751;;
P62495;ETF1;1,819014;1;2,053656;1;Vicino all'ER;Translation;0,234642;0,668036884;;
O95685;PPP1R3D;2,03608;1;2,270709;1;Vicino all'ER;protein-complex;0,234629;0,667997132;;
P00325;ADH1B;1,845287;1;2,079878;1;Vicino all'ER;Cytoplasm;0,234591;0,667880934;Q2;x
Q9BVM2;DPCD;2,015625;1;2,250216;1;Vicino all'ER;protein-complex;0,234591;0,667880934;;
H0YEA7;GNPTG;0,466923;0,000434028;0,7014595;0,003733108;Vicino all'ER;ER;0,2345365;0,667714282;;
A0A6Q8PEY7;TRIM2;1,916867;1;2,151384;1;Vicino all'ER;Translation;0,234517;0,667654654;;
A0A494C1N0;FKBP2;0,5726867;0,001587771;0,8071756;0,008296943;Vicino all'ER;ER;0,2344889;0,667568729;;
A0A8Q3SI21;PDE4DIP;2,251666;1;2,486118;1;Vicino all'ER;protein-complex;0,234452;0,667455895;;
P62942;FKBP1A;1,847396;1;2,081813;1;Vicino all'ER;Cytoplasm;0,234417;0,66734887;;
O14950;MYL12B;1,837674;1;2,07209;1;Vicino all'ER;Cytoplasm;0,234416;0,667345812;;
O60664;PLIN3;1,864151;1;2,098565;1;Vicino all'ER;Cytoplasm;0,234414;0,667339697;;
P28482;MAPK1;1,767735;1;2,002108;1;Vicino all'ER;Cytoplasm;0,234373;0,667214325;;
Q9H814;PHAX;1,827359;1;2,061713;1;Vicino all'ER;Cytoplasm;0,234354;0,667156226;;
P31751;AKT2;1,779876;1;2,014223;1;Vicino all'ER;Cytoplasm;0,234347;0,667134822;;
P61289;PSME3;1,651353;1;1,885669;1;Vicino all'ER;Cytoplasm;0,234316;0,667040029;;
A0A804HKB7;ABCC9;1,195673;0,2249461;1,429979;0,338529;Vicino all'ER;protein-complex;0,234306;0,66700945;Q3;x
Q6PD74;AAGAB;1,75643;1;1,990731;1;Vicino all'ER;Cytoplasm;0,234301;0,666994161;Q3;
Q9NUL7;DDX28;0,7642519;0,01059856;0,998529;0,03224503;Vicino all'ER;Mitochondria;0,2342771;0,666921079;;
Q86UY6;NAA40;1,870433;1;2,10471;1;Vicino all'ER;Cytoplasm;0,234277;0,666920773;;
Q96C86;DCPS;1,775196;1;2,00947;1;Vicino all'ER;Cytoplasm;0,234274;0,666911599;;
M0QYA2;PIH1D1;2,121099;1;2,355367;1;Vicino all'ER;protein-complex;0,234268;0,666893252;;
P31321;PRKAR1B;2,038164;1;2,27243;1;Vicino all'ER;protein-complex;0,234266;0,666887137;;
A0A1W2PR28;IQSEC2;1,777005;1;2,01127;1;Vicino all'ER;Cytoplasm;0,234265;0,666884079;;
Q9UBV2;SEL1L;1,387184;0,5406654;1,621449;0,6822626;Vicino all'ER;Cytoplasm;0,234265;0,666884079;;
C9JJV1;TSSC4;1,786777;1;2,021017;1;Vicino all'ER;Cytoplasm;0,23424;0,666807633;;
Q92541;RTF1;1,623288;1;1,857519;1;Vicino all'ER;Cytoplasm;0,234231;0,666780112;;
Q9Y587;AP4S1;1,977653;1;2,211864;1;Vicino all'ER;Cytoplasm;0,234211;0,666718956;;
Q9BRR6;ADPGK;0,5020871;0,000679191;0,1933623;0;Vicino al REPLICOMA;ER;0,3087248;0,894570045;Q3;x
P40222;TXLNA;1,803591;1;2,037757;1;Vicino all'ER;Translation;0,234166;0,666581353;;
Q96MX6;DNAAF10;1,881417;1;2,115582;1;Vicino all'ER;Translation;0,234165;0,666578295;;
P24844;MYL9;1,858373;1;2,092511;1;Vicino all'ER;Cytoplasm;0,234138;0,666495734;;
P46108;CRK;1,804488;1;2,038593;1;Vicino all'ER;Cytoplasm;0,234105;0,666394825;;
A0A8Q3SHL5;NARS2;0,8992555;0,03197806;1,133351;0,07166412;Vicino all'ER;Mitochondria;0,2340955;0,666365775;;
Q8IWV8;UBR2;1,892157;1;2,126245;1;Vicino all'ER;Cytoplasm;0,234088;0,666342842;;
Q9GZU8;PSME3IP1;1,860079;1;2,094164;1;Vicino all'ER;Cytoplasm;0,234085;0,666333668;;
Q13049;TRIM32;1,201845;0,2323202;1,43592;0,3474279;Vicino all'ER;endosome-vesicle;0,234075;0,66630309;;
A0A8I5KSV6;RAF1;2,031728;1;2,265784;1;Vicino all'ER;protein-complex;0,234056;0,666244991;;
Q99614;TTC1;1,803598;1;2,03765;1;Vicino all'ER;Cytoplasm;0,234052;0,66623276;;
A0A8I5KP46;CWC27;1,622053;0,9995022;1,856038;1;Vicino all'ER;Cytoplasm;0,233985;0,666027884;;
A0A804HHV6;SGIP1;1,885084;1;2,119057;1;Vicino all'ER;Cytoplasm;0,233973;0,66599119;;
Q15691;MAPRE1;1,951328;1;2,185296;1;Vicino all'ER;Cytoplasm;0,233968;0,665975901;;
O00151;PDLIM1;1,853053;1;2,086989;1;Vicino all'ER;Cytoplasm;0,233936;0,66587805;;
A0A8V8TL59;PRKACA;1,9062;1;2,140132;1;Vicino all'ER;protein-complex;0,233932;0,665865819;;
Q68CZ2;TNS3;1,854962;1;2,088867;1;Vicino all'ER;Cytoplasm;0,233905;0,665783257;;
A0A8V8TND4;CAMK2D;2,07242;1;2,30631;1;Vicino all'ER;protein-complex;0,23389;0,66573739;;
D6RD97;PAIP1;1,952699;1;2,186543;1;Vicino all'ER;Cytoplasm;0,233844;0,665596729;;
Q13643;FHL3;1,796306;1;2,030127;1;Vicino all'ER;Cytoplasm;0,233821;0,665526399;;
Q3KQV9;UAP1L1;1,818359;1;2,052145;1;Vicino all'ER;Cytoplasm;0,233786;0,665419375;;
P78537;BLOC1S1;1,733946;1;1,967718;1;Vicino all'ER;protein-complex;0,233772;0,665376565;;
P68402;PAFAH1B2;1,734607;1;1,968351;1;Vicino all'ER;Cytoplasm;0,233744;0,665290946;;
Q86V85;GPR180;0,6020669;0,002310406;0,8358105;0,01000973;Vicino all'ER;ER;0,2337436;0,665289722;;
P15927;RPA2;1,606745;0,9732907;1,840438;1;Vicino all'ER;Cytoplasm;0,233693;0,665134996;;
C9JEJ2;PCYT1A;1,732307;1;1,965966;1;Vicino all'ER;Cytoplasm;0,233659;0,665031029;;
E5RHX1;RANBP17;1,852091;1;2,085744;1;Vicino all'ER;Translation;0,233653;0,665012682;;
A0A1B0GWB6;PLCB1;0,7935277;0,01331984;1,027161;0,0382989;Vicino all'ER;PM;0,2336333;0,664952443;;
Q86U90;YRDC;1,651412;1;1,88504;1;Vicino all'ER;Cytoplasm;0,233628;0,664936236;;
J3KMZ7;INTS2;1,039171;0,09122927;1,272739;0,1576003;Vicino all'ER;Mitochondria;0,233568;0,664752766;;
P31153;MAT2A;1,8453;1;2,078867;1;Vicino all'ER;Cytoplasm;0,233567;0,664749708;;
P47756;CAPZB;1,933827;1;2,167319;1;Vicino all'ER;Cytoplasm;0,233492;0,664520371;;
Q9BZM4;ULBP3;1,464604;0,7010682;1,698088;0,8198307;Vicino all'ER;Golgi apparatus;0,233484;0,664495908;;
E9PFG7;OGDH;1,47191;0,7131804;1,705387;0,8328483;Vicino all'ER;Nucleus;0,233477;0,664474503;;
Q9UDY4;DNAJB4;1,687099;1;1,920523;1;Vicino all'ER;Cytoplasm;0,233424;0,664312438;;
Q9BZE9;ASPSCR1;2,041322;1;2,274701;1;Vicino all'ER;protein-complex;0,233379;0,664174835;;
P0DI81;TRAPPC2;1,904356;1;2,137727;1;Vicino all'ER;protein-complex;0,233371;0,664150372;;
A0A0C4DG44;HTRA2;0,7872835;0,01265021;1,020639;0,03668302;Vicino all'ER;Mitochondria;0,2333555;0,664102976;;
P61981;YWHAG;1,827679;1;2,06102;1;Vicino all'ER;Cytoplasm;0,233341;0,664058637;;
OC43NSP5;OC43NSP5;0,9362909;0,043045;1,169622;0,08886021;Vicino all'ER;Mitochondria;0,2333311;0,664028365;;
Q6QNY0;BLOC1S3;2,173616;1;2,406895;1;Vicino all'ER;protein-complex;0,233279;0,663869051;;
Q9Y450;HBS1L;1,956172;1;2,189442;1;Vicino all'ER;Translation;0,23327;0,663841531;;
Q969E4;TCEAL3;1,764379;1;1,997625;1;Vicino all'ER;Cytoplasm;0,233246;0,663768143;;
O15173;PGRMC2;0,4127399;0,000233161;0,6459215;0,002427386;Vicino all'ER;ER;0,2331816;0,663571218;;
Q16204;CCDC6;1,826867;1;2,060045;1;Vicino all'ER;Cytoplasm;0,233178;0,66356021;;
E9PJF6;AMPD2;2,095168;1;2,328346;1;Vicino all'ER;protein-complex;0,233178;0,66356021;;
O75083;WDR1;1,812138;1;2,0453;1;Vicino all'ER;Cytoplasm;0,233162;0,663511284;;
Q9C0B1;FTO;1,734181;1;1,967307;1;Vicino all'ER;Cytoplasm;0,233126;0,663401202;;
Q96DA6;DNAJC19;0,9042308;0,03298889;1,13733;0,07354209;Vicino all'ER;Mitochondria;0,2330992;0,663319252;;
Q9P299;COPZ2;2,068568;1;2,301609;1;Vicino all'ER;protein-complex;0,233041;0,663141286;;
A0A994J542;SEC23IP;2,106949;1;2,339987;1;Vicino all'ER;endosome-vesicle;0,233038;0,663132112;;
Q8NDC0;MAPK1IP1L;1,752152;1;1,98518;1;Vicino all'ER;Cytoplasm;0,233028;0,663101534;;
Q13509;TUBB3;1,854462;1;2,087487;1;Vicino all'ER;Cytoplasm;0,233025;0,66309236;;
J3KRR7;CYLD;1,854236;1;2,087225;1;Vicino all'ER;Translation;0,232989;0,662982278;;
A0A0D9SG04;COBLL1;2,316459;1;2,549416;1;Vicino all'ER;protein-complex;0,232957;0,662884428;;
P11177;PDHB;0,7573154;0,01012037;0,9902407;0,03041586;Vicino all'ER;Mitochondria;0,2329253;0,662787494;;
I3L3Z2;NAA38;2,262596;1;2,495499;1;Vicino all'ER;protein-complex;0,232903;0,662719304;;
Q13418;ILK;1,973032;1;2,205924;1;Vicino all'ER;protein-complex;0,232892;0,662685668;;
P55210;CASP7;1,738584;1;1,971453;1;Vicino all'ER;Cytoplasm;0,232869;0,662615338;;
O60701;UGDH;1,949411;1;2,182277;1;Vicino all'ER;Cytoplasm;0,232866;0,662606164;;
Q9Y2Q9;MRPS28;0,7428585;0,00909001;0,9757176;0,02751673;Vicino all'ER;Mitochondria;0,2328591;0,662585065;;
Q9UGP4;LIMD1;1,796817;1;2,02961;1;Vicino all'ER;Cytoplasm;0,232793;0,662382942;;
P13489;RNH1;1,817277;1;2,050065;1;Vicino all'ER;Cytoplasm;0,232788;0,662367653;;
Q7LBR1;CHMP1B;1,580138;0,9218465;1,812905;1;Vicino all'ER;Cytoplasm;0,232767;0,662303438;;
Q9H910;JPT2;1,742906;1;1,97564;1;Vicino all'ER;Mitochondria;0,232734;0,66220253;;
Q9BX70;BTBD2;1,773004;1;2,005736;1;Vicino all'ER;Golgi apparatus;0,232732;0,662196414;;
Q9Y2X7;GIT1;1,862234;1;2,094961;1;Vicino all'ER;protein-complex;0,232727;0,662181125;;
E9PD53;SMC4;2,020161;1;2,252886;1;Vicino all'ER;Cytoplasm;0,232725;0,662175009;;
O60551;NMT2;2,119888;1;2,352606;1;Vicino all'ER;Cytoplasm;0,232718;0,662153604;;
A6NGU5;GGT3P;1,550953;0,869012;1,783668;0,967376;Vicino all'ER;endosome-vesicle;0,232715;0,662144431;;
O43776;NARS1;1,94159;1;2,174279;1;Vicino all'ER;Cytoplasm;0,232689;0,662064927;;
O95169;NDUFB8;0,9691722;0,05526707;1,201826;0,1060078;Vicino all'ER;Mitochondria;0,2326538;0,661957291;;
F5H523;KLHL42;2,067009;1;2,29966;1;Vicino all'ER;protein-complex;0,232651;0,661948729;;
Q9Y3D0;CIAO2B;1,871257;1;2,103879;1;Vicino all'ER;Cytoplasm;0,232622;0,661860052;;
P09429;HMGB1;1,824528;1;2,057139;1;Vicino all'ER;Cytoplasm;0,232611;0,661826416;;
E9PGM1;EIF4G1;1,933047;1;2,165643;1;Vicino all'ER;Translation;0,232596;0,661780548;;
Q15942;ZYX;1,780665;1;2,013237;1;Vicino all'ER;Cytoplasm;0,232572;0,66170716;;
O15040;TECPR2;1,835094;1;2,067599;1;Vicino all'ER;Cytoplasm;0,232505;0,661502285;;
Q9Y3A5;SBDS;1,862664;1;2,095158;1;Vicino all'ER;Translation;0,232494;0,661468649;;
O75794;CDC123;1,762227;1;1,994717;1;Vicino all'ER;Cytoplasm;0,23249;0,661456417;;
Q12979;ABR;1,683822;1;1,916251;1;Vicino all'ER;Cytoplasm;0,232429;0,661269889;Q3;x
Q8N1G2;CMTR1;1,561712;0,8842443;1,794123;0,984732;Vicino all'ER;Cytoplasm;0,232411;0,661214848;;
Q13885;TUBB2A;1,843613;1;2,076006;1;Vicino all'ER;Cytoplasm;0,232393;0,661159807;;
P11413;G6PD;1,872254;1;2,104625;1;Vicino all'ER;Cytoplasm;0,232371;0,661092535;;
P63272;SUPT4H1;1,799846;1;2,032213;1;Vicino all'ER;Cytoplasm;0,232367;0,661080303;;
Q9H074;PAIP1;1,826762;1;2,059112;1;Vicino all'ER;Cytoplasm;0,23235;0,66102832;;
Q9UKA4;AKAP11;1,894609;1;2,126926;1;Vicino all'ER;protein-complex;0,232317;0,660927412;Q2;x
Q8TF42;UBASH3B;1,801008;1;2,033302;1;Vicino all'ER;Cytoplasm;0,232294;0,660857081;;
A0A8V8TMD9;RPTOR;1,754485;1;1,986764;1;Vicino all'ER;protein-complex;0,232279;0,660811214;;
Q9Y3I1;FBXO7;2,031027;1;2,2633;1;Vicino all'ER;protein-complex;0,232273;0,660792867;;
Q9H2U2;PPA2;0,7226653;0,007628205;0,9549199;0,02385704;Vicino all'ER;Mitochondria;0,2322546;0,660736602;;
Q9BTT0;ANP32E;1,787911;1;2,020089;1;Vicino all'ER;Cytoplasm;0,232178;0,660502372;;
Q9UBE0;SAE1;1,716385;1;1,948547;1;Vicino all'ER;Cytoplasm;0,232162;0,660453447;;
Q9UPN9;TRIM33;0,9750577;0,05781625;1,20721;0,1089516;Vicino all'ER;Mitochondria;0,2321523;0,660423786;;
Q13287;NMI;1,647665;1;1,879805;1;Vicino all'ER;Cytoplasm;0,23214;0,660386174;;
P47974;ZFP36L2;2,036108;1;2,268213;1;Vicino all'ER;Golgi apparatus;0,232105;0,66027915;;
O14976;GAK;1,851387;1;2,083462;1;Vicino all'ER;Cytoplasm;0,232075;0,660187415;;
Q9NUG6;PDRG1;1,931994;1;2,164063;1;Vicino all'ER;Cytoplasm;0,232069;0,660169068;;
A8MVW0;FAM171A2;1,379216;0,5237561;1,611278;0,6624439;Vicino all'ER;Golgi apparatus;0,232062;0,660147663;;
Q99653;CHP1;1,360118;0,4881106;1,592174;0,626039;Vicino all'ER;ER;0,232056;0,660129316;;
P07384;CAPN1;1,810134;1;2,042176;1;Vicino all'ER;Cytoplasm;0,232042;0,660086506;;
Q15056;EIF4H;1,769794;1;2,001764;1;Vicino all'ER;Cytoplasm;0,23197;0,659866342;;
C9JJ19;MRPS34;0,7385343;0,008791541;0,9704531;0,0264682;Vicino all'ER;Mitochondria;0,2319188;0,659709781;;
A0A087X0W8;RELA;1,838325;1;2,0702;1;Vicino all'ER;Cytoplasm;0,231875;0,659575847;;
